"FORMULARIO","CODIGO_ACCIDENTE","FECHA_OCURRENCIA_ACC","HORA_OCURRENCIA_ACC","ANO_OCURRENCIA_ACC","MES_OCURRENCIA_ACC","DIA_OCURRENCIA_ACC","DIRECCION","GRAVEDAD","CLASE_ACC","LOCALIDAD","MUNICIPIO","FECHA_HORA_ACC","LATITUD","LONGITUD"
"A001127025","10505402","2019/12/12","10:24:00","2019","DICIEMBRE","JUEVES","KR 80-CL 34 S","CON HERIDOS","OTRO","KENNEDY","BOGOTA DC","2019/12/12 10:24:00+00","4.6363","-74.1608"
"A001451595","10572760","2022/06/03","22:00:00","2022","JUNIO","VIERNES","CL 26 -KR 33 ","SOLO DANOS","CHOQUE","TEUSAQUILLO","BOGOTA DC","2022/06/03 21:59:59+00","4.63","-74.083"
"A000765217","4516084","2018/04/26","19:20:00","2018","ABRIL","JUEVES","KR 86-CL 74 ","CON HERIDOS","CHOQUE","BOSA","BOGOTA DC","2018/04/26 19:20:00+00","4.61650706","-74.19981736"
"A000756914","4506453","2018/01/25","15:40:00","2018","ENERO","JUEVES","KR 10-CL 1","SOLO DANOS","CHOQUE","SANTA FE","BOGOTA DC","2018/01/25 15:40:00+00","4.6023","-74.0768"
"A001297107","10538419","2021/04/21","19:51:00","2021","ABRIL","MIERCOLES","CL 6 D S- KR 86","CON HERIDOS","ATROPELLO","KENNEDY","BOGOTA DC","2021/04/21 19:50:59+00","4.63874788","-74.15902459"
"A000041644","4402646","2015/01/20","16:30:00","2015","ENERO","MARTES","AV AVENIDA BOYACA-CL 62B S","SOLO DANOS","CHOQUE","CIUDAD BOLIVAR","BOGOTA DC","2015/01/20 16:30:00+00","4.55704845","-74.13813398"
"A000870559","10460303","2018/09/12","4:40:00","2018","SEPTIEMBRE","MIERCOLES","KR 30-CL 3","SOLO DANOS","CHOQUE","PUENTE ARANDA","BOGOTA DC","2018/09/12 04:40:00+00","4.60379431","-74.1005206"
"A000903730","10467829","2018/11/23","7:43:00","2018","NOVIEMBRE","VIERNES","CL 53-KR 2","SOLO DANOS","CHOQUE","TEUSAQUILLO","BOGOTA DC","2018/11/23 07:43:00+00","4.64174106","-74.07349672"
"A2993","4407548","2015/03/13","12:05:00","2015","MARZO","VIERNES","CL 76-KR 11","CON HERIDOS","ATROPELLO","CHAPINERO","BOGOTA DC","2015/03/13 12:04:59+00","4.66137325","-74.05674552"
"A000761118","4511995","2018/03/16","2:00:00","2018","MARZO","VIERNES","KR 68F-CL 2","SOLO DANOS","CHOQUE","FONTIBON","BOGOTA DC","2018/03/16 02:00:00+00","4.65313216","-74.11283149"
