"FORMULARIO","CODIGO_ACCIDENTE","FECHA_OCURRENCIA_ACC","HORA_OCURRENCIA_ACC","ANO_OCURRENCIA_ACC","MES_OCURRENCIA_ACC","DIA_OCURRENCIA_ACC","DIRECCION","GRAVEDAD","CLASE_ACC","LOCALIDAD","MUNICIPIO","FECHA_HORA_ACC","LATITUD","LONGITUD"
"A001514551","10581429","2022/09/21","15:14:00","2022","SEPTIEMBRE","MIERCOLES","KR 65 -CL 13 ","SOLO DANOS","CHOQUE","PUENTE ARANDA","BOGOTA DC","2022/09/21 15:14:00+00","4.635","-74.115"
"A000553460","4470956","2017/01/25","20:00:00","2017","ENERO","MIERCOLES","CL 79-KR 29","SOLO DANOS","CHOQUE","BARRIOS UNIDOS","BOGOTA DC","2017/01/25 20:00:00+00","4.67162889","-74.06738975"
"A001392262","10563315","2022/02/13","23:50:00","2022","FEBRERO","DOMINGO","KR 27 B -CL 71 H S","SOLO DANOS","CHOQUE","CIUDAD BOLIVAR","BOGOTA DC","2022/02/13 23:50:00+00","4.55","-74.159"
"A000963645","10476730","2019/02/23","8:52:00","2019","FEBRERO","SABADO","CL 114-KR ","SOLO DANOS","CHOQUE","USAQUEN","BOGOTA DC","2019/02/23 08:51:59+00","4.69230537","-74.03350708"
"A000870921","10459699","2018/09/06","10:00:00","2018","SEPTIEMBRE","JUEVES","CL 80-KR 11","SOLO DANOS","CHOQUE","ENGATIVA","BOGOTA DC","2018/09/06 09:59:59+00","4.72309603","-74.12211097"
"A001389412","10560131","2022/01/04","18:50:00","2022","ENERO","MARTES","CL 57 R  S- KR 75 B ","SOLO DANOS","CHOQUE","CIUDAD BOLIVAR","BOGOTA DC","2022/01/04 18:49:59+00","4.59495856","-74.17595579"
"A001175555","10515817","2020/05/21","15:15:00","2020","MAYO","JUEVES","CL 26-KR 7","CON HERIDOS","CHOQUE","FONTIBON","BOGOTA DC","2020/05/21 15:14:59+00","4.66879126","-74.11298847"
"A000821498","10454080","2018/07/12","7:05:00","2018","JULIO","JUEVES","KR 11-CL 10","CON HERIDOS","CHOQUE","USAQUEN","BOGOTA DC","2018/07/12 07:05:00+00","4.68783869","-74.04086349"
"A000695914","4504750","2018/01/04","10:00:00","2018","ENERO","JUEVES","CL 80-KR 10","SOLO DANOS","CHOQUE","ENGATIVA","BOGOTA DC","2018/01/04 09:59:59+00","4.708","-74.1089"
"A001239873","10532491","2021/02/04","20:20:00","2021","FEBRERO","JUEVES","AV AVENIDA BOYACA-KR 134","SOLO DANOS","CHOQUE","SUBA","BOGOTA DC","2021/02/04 20:19:59+00","4.72619744","-74.07121526"
"A000342205","4437730","2016/02/25","22:00:00","2016","FEBRERO","JUEVES","CL 13-KR 38","CON HERIDOS","OTRO","PUENTE ARANDA","BOGOTA DC","2016/02/25 21:59:59+00","4.61994833","-74.09817274"
"A001184220","10524802","2020/10/20","13:00:00","2020","OCTUBRE","MARTES","AV AVENIDA BOYACA-CL 68B","CON HERIDOS","VOLCAMIENTO","ENGATIVA","BOGOTA DC","2020/10/20 12:59:59+00","4.68332219","-74.09795435"
"A001447091","10568324","2022/04/11","14:38:00","2022","ABRIL","LUNES","CL 69  S- TV 20 F ","SOLO DANOS","CHOQUE","CIUDAD BOLIVAR","BOGOTA DC","2022/04/11 14:38:00+00","4.563","-74.154"
"A000603884","4479979","2017/04/28","6:15:00","2017","ABRIL","VIERNES","KR 64-CL 23A","SOLO DANOS","CHOQUE","TEUSAQUILLO","BOGOTA DC","2017/04/28 06:14:59+00","4.64578338","-74.10475271"
"A001128095","10515172","2020/04/30","20:49:00","2020","ABRIL","JUEVES","KR 93B-CL 34 S","SOLO DANOS","CHOQUE","KENNEDY","BOGOTA DC","2020/04/30 20:48:59+00","4.64643194","-74.16858541"
"A1157","4404886","2015/02/11","20:30:00","2015","FEBRERO","MIERCOLES","AC 134-KR 45B","SOLO DANOS","CHOQUE","SUBA","BOGOTA DC","2015/02/11 20:29:59+00","4.71915528","-74.05330278"
"A001305377","10546641","2021/08/10","10:00:00","2021","AGOSTO","MARTES","KR 47 -CL 91 ","SOLO DANOS","CHOQUE","BARRIOS UNIDOS","BOGOTA DC","2021/08/10 09:59:59+00","4.67915967","-74.06062911"
"A001131888","10509276","2020/01/26","9:55:00","2020","ENERO","DOMINGO","CL 80-KR 12","SOLO DANOS","CHOQUE","ENGATIVA","BOGOTA DC","2020/01/26 09:55:00+00","4.72776434","-74.12627952"
"A001136534","10514658","2020/03/17","20:10:00","2020","MARZO","MARTES","KR 86-CL 89","SOLO DANOS","CHOQUE","ENGATIVA","BOGOTA DC","2020/03/17 20:10:00+00","4.7092058","-74.09527165"
"A000966949","10478810","2019/03/16","18:40:00","2019","MARZO","SABADO","KR 78G-CL 51 ","CON HERIDOS","ATROPELLO","KENNEDY","BOGOTA DC","2019/03/16 18:40:00+00","4.61113856","-74.16760964"
