Compacto;01/01/23;01/15/23;15000
Sedán;01/16/23;01/31/23;25000
Lujo;10/01/23;12/02/24;60000;02/01/23;02/15/23;50000
Deportivo;02/16/23;02/28/23;35000
SUV;03/01/23;03/15/23;30000
Camioneta;03/16/23;03/31/23;40000
Furgoneta;04/01/23;04/15/23;20000
Eléctrico;04/16/23;04/30/23;45000
Híbrido;05/01/23;05/15/23;30000
Convertible;05/16/23;05/31/23;40000
Coupé;06/01/23;06/15/23;35000
Hatchback;06/16/23;06/30/23;20000
Familiar;07/01/23;07/15/23;30000
Crossover;07/16/23;07/31/23;35000
Muscle car;08/01/23;08/15/23;40000
SUV de lujo;08/16/23;08/31/23;60000
Pickup;09/01/23;09/15/23;35000
Off-road;09/16/23;09/30/23;45000
Sedán de lujo;10/01/23;10/15/23;55000
Deportivo compacto;10/16/23;10/31/23;30000
